id,Q4: How much would you expect to pay for one serving of this food item?,Label
712252,$4 ,Pizza
742226,$5-$10,Pizza
712771,20,Pizza
746466,24,Pizza
601737,5 dollars,Pizza
631902,$4 ,Pizza
312320,if one serving means 1 slice = price approx for slice = $4,Pizza
519986,4,Pizza
626771,I would expect to pay between $2-5 CAD for one serving of this food item.,Pizza
407257,3,Pizza
626883,"Around $3-4 per slice. For a full pizza, around $1-2 dollar per inch.",Pizza
727339,15$ for 1 whole pizza (8 slices),Pizza
631448,"For a whole pizza around 11 dollars, and for one slice I expect around 1.5 dollars",Pizza
634885,$4 ,Pizza
619932,$5 ,Pizza
601986,one slice for 3.45$,Pizza
631141,$4 ,Pizza
631069,$6 ,Pizza
634508,$3 ,Pizza
206744,$5 ,Pizza
498213,similar to what Costco pizza price is and as big of that portion. around 2.7 cad for 1.5 piece (pretty big),Pizza
627496,4.25 dollars,Pizza
629659,12$,Pizza
630190,I would expect to pay 5$ for one serving.,Pizza
401586,3.5,Pizza
629263,$3 ,Pizza
631678,$5 ,Pizza
411681,$6 ,Pizza
518733,5 dollars,Pizza
630378,$5 ,Pizza
631142,$5 per serving,Pizza
519976,5 dollars.,Pizza
604991,5,Pizza
522483,$10 ,Pizza
629723,$8 ,Pizza
387522,15,Pizza
613484,$3.00 ,Pizza
388729,"it depends on. For instance, if the dish is quiet complex, I may would like to pay more for it. But In average, I would expect to pay around 20 dollar.",Pizza
494373,15-20,Pizza
630977,"5 per slice

but 20 for a whole pizza",Pizza
621982,10 dollars,Pizza
605537,8,Pizza
607073,3-4 dollars,Pizza
624443,$3 ,Pizza
718089,$5 ,Pizza
622727,Between $2 to $4 for one slice.,Pizza
609617,Around 3$ is a fair price,Pizza
526064,$2.50 ,Pizza
609179,5,Pizza
627638,About $4.,Pizza
411117,$6 ,Pizza
634430,$3.00 ,Pizza
631711,$10 ,Pizza
606010,ideally like a 1$ but I expect to pay around 3-7$. USD,Pizza
631436,"One slice should be $3, unfortunately the school does not see it this way and overcharges us for $4-$5 per slice. For clarity on the question, the answer should be $3. ",Pizza
633712,15,Pizza
609556,5 dollar,Pizza
520090,$5 ,Pizza
602234,"For one serving, I expect pizza to cost about $10. That's the economy for you.",Pizza
741592,2.99,Pizza
628547,$5 ,Pizza
501513,15,Pizza
630929,$2 ,Pizza
617379,$5 ,Pizza
617310,3.99,Pizza
495424,$5 ,Pizza
622787,4,Pizza
631716,"Slice - $5

Pizza - $20",Pizza
741658,less than 5 dollars per piece.,Pizza
620745,$10-$15,Pizza
611932,$8 ,Pizza
635602,Entire thing can be around $14-24 depending on its size,Pizza
619892,$16.00 ,Pizza
529289,$10 ,Pizza
630738,5,Pizza
524766,15,Pizza
522148,4,Pizza
601547,$15 each box,Pizza
631046,10,Pizza
66222,13,Pizza
603182,20 dollars,Pizza
632117,"If you buy a whole medium pizza it will cost about 12 CAD in Toronto, depending on the place you get it from. So a single ""serving"" or slice of this will be about 1 CAD. It depends on what is meant by serving.",Pizza
630209,$20 ,Pizza
413395,25-Dec,Pizza
386750,12 to 14 dollars,Pizza
617178,5 dollars.,Pizza
630128,$2 per serving (a slice among 6),Pizza
628736,A couple of euro.,Pizza
747734,12-20 dollars,Shawarma
517064,I'd expect to pay around $13-16 for a good portion.,Shawarma
387330,$10 ,Shawarma
746750,$10 ,Shawarma
629285,$8 ,Shawarma
743488,$9.00 ,Shawarma
523710,$8-12,Shawarma
635179,$8.00 ,Shawarma
313562,$10 ,Shawarma
712670,7-10 dollors,Shawarma
635627,$13 ,Shawarma
524485,22,Shawarma
632320,8,Shawarma
633520,"15-20, depending on whether it's a wrap or a bowl. ",Shawarma
606905,11.99,Shawarma
393424,10,Shawarma
618333,8 Cad,Shawarma
628558,$12 ,Shawarma
613776,12 CAD,Shawarma
317214,I would expect to pay around 16$ for a regular sized serving of shawarma.,Shawarma
628093,$12.00 ,Shawarma
411781,12,Shawarma
525567,12,Shawarma
634455,10-Jul,Shawarma
498848,$10 ,Shawarma
638838,$12.50 ,Shawarma
411253,5,Shawarma
410165,15,Shawarma
608554,15,Shawarma
602394,$15 ,Shawarma
743623,$15 for a moderately sized shawarma,Shawarma
87783,$10 per sandwich ,Shawarma
632431,9.99$,Shawarma
744091,7-8$ for a whole wrap.,Shawarma
519570,$15 ,Shawarma
744484,$12 ,Shawarma
508149,11,Shawarma
524992,12,Shawarma
413570,$9 ,Shawarma
306207,$12 max,Shawarma
634468,15,Shawarma
522205,$12 ,Shawarma
5978,10 dollars ,Shawarma
742611,Usually 6$ to 12$ based on BA's food trucks and Uber Eats prices.,Shawarma
631198,10,Shawarma
606150,12 CAD.,Shawarma
313577,$13 ,Shawarma
629700,$13 ,Shawarma
630928,11,Shawarma
607286,$10 ,Shawarma
607609,$7 ,Shawarma
522890,8$-12$,Shawarma
630227,$12 ,Shawarma
603607,8,Shawarma
617029,10,Shawarma
617462,$10 ,Shawarma
633001,8,Shawarma
634690,11,Shawarma
630198,10,Shawarma
520507,$6 ,Shawarma
635065,9,Shawarma
613209,8-10 $,Shawarma
605452,20,Shawarma
24137,15,Shawarma
518809,10,Shawarma
634646,$7 ,Shawarma
508156,$15 ,Shawarma
632909,$13 ,Shawarma
414734,lower than 15$,Shawarma
630250,13 to 15 dollars,Shawarma
411810,about $7,Shawarma
214145,10,Shawarma
628986,16.98,Shawarma
211158,12,Shawarma
507382,7 Dollars,Shawarma
522877,$12.50 ,Shawarma
635024,8-10 dollars.,Shawarma
602845,I expect to pay $10.,Shawarma
519822,$12 ,Shawarma
600849,$7 ,Shawarma
605148,$13 ,Shawarma
631600,I would pay around $10 for a large size shawarma,Shawarma
716142,$5 ,Shawarma
525853,15 to 20 dollars,Shawarma
835124,$9 ,Shawarma
634764,$10 ,Shawarma
630117,Around 14,Shawarma
631531,~$10,Shawarma
714062,Around 10 CAD,Shawarma
629156,10,Shawarma
498563,$12 ,Shawarma
625319,$9-10,Shawarma
723931,15 dollars,Shawarma
526497,$15.00 ,Shawarma
630999,15 dollars,Shawarma
97339,$10 ,Shawarma
631909,$12 ,Shawarma
625349,15,Shawarma
632299,12 dollars.,Shawarma
616634,8,Shawarma
616836,$12 ,Shawarma
609116,$8 ,Shawarma
626789,11,Shawarma
504599,10 CAD,Shawarma
632684,12,Shawarma
522967,15,Shawarma
632893,$10 ,Shawarma
632156,"Taking one wrap as one serving, I would expect to pay $12.",Shawarma
603582,10 CAD,Shawarma
626754,$12 ,Shawarma
298481,$5-$15,Shawarma
631583,12,Shawarma
718026,8,Shawarma
616713,8 CAD,Shawarma
602533,14,Shawarma
522345,I would pay $12 for an 8-inch shawarma and $16 for a 16-inch shawarma,Shawarma
629758,around 10 dollars,Shawarma
631496,$10 ,Shawarma
491374,8-13 Canadian dollars,Shawarma
632051,10,Shawarma
409930,$10 to $20,Shawarma
632975,12,Shawarma
407221,$10 ,Shawarma
204508,$10 ,Shawarma
618700,10,Shawarma
627792,8 CAD.,Shawarma
712054,$16 ,Shawarma
631881,$8-$12,Shawarma
716188,$11 ,Shawarma
628744,$10-15,Shawarma
604132,13,Shawarma
629807,10,Shawarma
741428,$8 ,Shawarma
633024,10,Shawarma
631221,I would expect to pay $10.,Shawarma
601983,10,Shawarma
603007,15 dollars,Shawarma
601217,10 CAD,Shawarma
629221,$13 ,Shawarma
634705,$8 ,Shawarma
630070,$16 ,Shawarma
630006,$20 ,Shawarma
629072,$13.50 ,Shawarma
630044,I expect to pay like 13$ for a serving,Shawarma
626026,10$,Shawarma
520303,15,Shawarma
630972,10 bucks,Shawarma
630948,10,Shawarma
626778,$12 ,Shawarma
631181,12,Shawarma
633541,12,Shawarma
630098,10 dollar,Shawarma
629959,15 dollars,Shawarma
633097,$7 ,Shawarma
605290,$8/serving,Shawarma
629869,$15 ,Shawarma
632868,One serving would expected for me to pay around $15.  ,Shawarma
209691,I expect to pay $10 for one serving of this food item.,Shawarma
600915,10,Shawarma
525420,$10 ,Shawarma
414710,$10 CAD,Shawarma
629985,$7 ,Shawarma
523128,10,Shawarma
727410,$20 ,Shawarma
616457,10,Shawarma
206487,Six dollar,Shawarma
68949,$10-$13 depending on the size.,Shawarma
419835,12,Shawarma
745732,8 to 12 dollars.,Shawarma
543739,10,Shawarma
410380,11,Shawarma
385307,10 each ,Shawarma
634566,15,Shawarma
625818,10$,Shawarma
631164,$5-$10,Shawarma
603130,$13 ,Shawarma
229211,$6 ,Shawarma
626849,$10.00 ,Shawarma
634650,$13 ,Shawarma
632125,$2.50 ,Shawarma
626812,15,Shawarma
631109,$9-12,Shawarma
716766,8 for each wrap,Shawarma
494103,15 dollars,Shawarma
628102,$12 ,Shawarma
634683,8-12 dollars,Shawarma
517774,10,Shawarma
408898,7 dollars,Shawarma
603189,10,Shawarma
606857,6 CAD,Shawarma
523080,9 dollars,Shawarma
631014,$10 ,Shawarma
503957,$10 ,Shawarma
524890,$12 ,Shawarma
717411,$7 ,Shawarma
525311,$12 ,Shawarma
630967,10,Shawarma
604969,$8 ,Shawarma
524480,$15 ,Shawarma
630121,around $20.00,Shawarma
629615,for a shawarma plate: 12 dollars,Shawarma
634977,10,Shawarma
630823,14,Shawarma
632228,5 to 8 dollars,Shawarma
504548,$15 ,Shawarma
522477,At most $15.,Shawarma
523461,$8 ,Shawarma
312640,13 dollars for a standard size maybe 15 or 16 for a large,Shawarma
854745,$7 ,Shawarma
711854,$10 ,Shawarma
739254,8 dollars,Shawarma
621555,"14$ or so I guess for a bowl, 10ish for a wrap.",Shawarma
602482,7-9 dollars,Shawarma
630416,$5?,Shawarma
505458,10,Shawarma
296589,Around $8-10,Shawarma
604826,I will expect to pay around 11 dollars for one serving of this food item. ,Shawarma
387820,20 CAD.,Shawarma
603612,12,Shawarma
712252,$10 ,Shawarma
742226,10,Shawarma
712771,20,Shawarma
746466,18,Shawarma
601737,12 dollars,Shawarma
631902,$8 ,Shawarma
312320,"shawarma wrap = $10

shawarma plate = $15",Shawarma
519986,11,Shawarma
626771,I would expect to pay between $8-15 CAD for one serving of this food item.,Shawarma
407257,10,Shawarma
626883,$4-6,Shawarma
727339,10$,Shawarma
631448,Around 6-7 dollars,Shawarma
634885,$11 ,Shawarma
619932,$11 ,Shawarma
601986,12.36$,Shawarma
631141,$12 ,Shawarma
631069,$12 ,Shawarma
634508,$9 ,Shawarma
206744,$10 ,Shawarma
498213,one big shawarma wrap could be around 8-10 cad,Shawarma
627496,13.00 dollars,Shawarma
629659,10$,Shawarma
630190,8 dollars.,Shawarma
401586,12.5,Shawarma
629263,$15 ,Shawarma
631678,15$,Shawarma
411681,$12 ,Shawarma
518733,9 dollars,Shawarma
630378,$10 ,Shawarma
631142,$12 per serving,Shawarma
519976,"I have no idea, I don't eat that stuff",Shawarma
604991,12,Shawarma
522483,$8 ,Shawarma
629723,$13 ,Shawarma
387522,15,Shawarma
613484,$8.00 ,Shawarma
388729,Around 15 - 20 dollar !,Shawarma
494373,12-Oct,Shawarma
630977,15 dollars,Shawarma
621982,12 dollars,Shawarma
605537,6,Shawarma
607073,10-Aug,Shawarma
624443,$7 ,Shawarma
718089,$10-$15,Shawarma
622727,$8 to $9,Shawarma
609617,Around 6$ would be fair value,Shawarma
526064,$8 ,Shawarma
609179,12,Shawarma
627638,Around $6.,Shawarma
411117,$9 ,Shawarma
634430,$8.00 ,Shawarma
631711,$3 ,Shawarma
606010,like 6-10$ USD.,Shawarma
631436,"For one shawarma, it should cost $12 according to Osmows. ",Shawarma
633712,10,Shawarma
609556,10 dollar,Shawarma
520090,$9 ,Shawarma
602234,I expect to pay $15 for one serving of shawarma.,Shawarma
741592,9.99,Shawarma
628547,$15 ,Shawarma
501513,10,Shawarma
630929,$9 ,Shawarma
617379,$9 ,Shawarma
617310,13.99,Shawarma
495424,$10 ,Shawarma
622787,8,Shawarma
631716,$13 ,Shawarma
741658,less than 10 dollars.,Shawarma
620745,$12-$15,Shawarma
611932,$10 ,Shawarma
635602,"$8-14, depending on size/type",Shawarma
619892,$12.00 ,Shawarma
529289,$15 ,Shawarma
630738,10,Shawarma
524766,15,Shawarma
522148,9,Shawarma
601547,10 per serving,Shawarma
631046,12,Shawarma
66222,10,Shawarma
603182,15,Shawarma
632117,"One serving of shawarma typically refers to one whole wrap, so about 11 CAD in Toronto.",Shawarma
630209,$10 ,Shawarma
413395,20-Oct,Shawarma
386750,About 15 - 20 dollars,Shawarma
617178,10 dollars,Shawarma
630128,$10 ,Shawarma
628736,"I wouldn’t pay more than a few hundred turkish lira, unless inflation increases the cost of this food item.",Shawarma
747734,12-20 dollars,Sushi
517064,For a single sushi? $1-2.,Sushi
387330,$13 ,Sushi
746750,$20 ,Sushi
629285,$11 ,Sushi
743488,$10.00 for a meal,Sushi
523710,$6-18,Sushi
635179,$13.00 ,Sushi
313562,$25 ,Sushi
712670,1 dollar per sushi,Sushi
635627,$15 ,Sushi
524485,40,Sushi
632320,12 for 6 pieces,Sushi
633520,~$20,Sushi
606905,20.99,Sushi
393424,10,Sushi
618333,12 CAD,Sushi
628558,$25 ,Sushi
613776,"One serving for me would at least have to be 8 rolls, and I expect to pay $12.",Sushi
317214,I would expect to pay at least 20 for a small platter of sushi,Sushi
628093,$30.00 ,Sushi
411781,11,Sushi
525567,10,Sushi
634455,8,Sushi
498848,$12 ,Sushi
638838,$25.00 ,Sushi
411253,8,Sushi
410165,25,Sushi
608554,20,Sushi
602394,$10 ,Sushi
743623,"$20 for high-class sushi, 8 pieces",Sushi
87783,$40 for dinner. ,Sushi
632431,10.99$,Sushi
744091,Mabye each sushi cost 2$?,Sushi
519570,$20 ,Sushi
744484,$10 ,Sushi
508149,24,Sushi
524992,12,Sushi
413570,$5 ,Sushi
306207,$6 ,Sushi
634468,20,Sushi
522205,$15 ,Sushi
5978,12 dollars,Sushi
742611,"Really depends on the main ingredient, usually $5-$15 for a roll.",Sushi
631198,12,Sushi
606150,10 CAD.,Sushi
313577,$10 ,Sushi
629700,$15 ,Sushi
630928,13,Sushi
607286,$15 ,Sushi
607609,$14 ,Sushi
522890,5$ up to 20$,Sushi
630227,$30 ,Sushi
603607,10,Sushi
617029,10,Sushi
617462,$20 ,Sushi
633001,10,Sushi
634690,$18 ,Sushi
630198,15,Sushi
520507,$4.50 ,Sushi
635065,10,Sushi
613209,17-18$,Sushi
605452,25,Sushi
24137,25,Sushi
518809,6,Sushi
634646,$10 ,Sushi
508156,$10 ,Sushi
632909,$20 ,Sushi
414734,30-40$,Sushi
630250,18 to 20 dollars,Sushi
411810,$30 ,Sushi
214145,10,Sushi
628986,12.79,Sushi
211158,8,Sushi
507382,12 Dollars,Sushi
522877,$20 ,Sushi
635024,10 dollars.,Sushi
602845,About $25.,Sushi
519822,15,Sushi
600849,$5 ,Sushi
605148,One sushi roll: $15,Sushi
631600,I would probably expect to pay $10 for a tray of sushi,Sushi
716142,$10 ,Sushi
525853,5 to 20 dollars,Sushi
835124,$10 ,Sushi
634764,$15 ,Sushi
630117,around 1 per piece,Sushi
631531,~$15-20,Sushi
714062,At least 15 CAD,Sushi
629156,15,Sushi
498563,$6.50 ,Sushi
625319,5$,Sushi
723931,20 dollars,Sushi
526497,$8.00 ,Sushi
630999,A box of sushi would be around 8 dollar.,Sushi
97339,$3 ,Sushi
631909,$5 ,Sushi
625349,14,Sushi
632299,20 dollars,Sushi
616634,7,Sushi
616836,$10 ,Sushi
609116,$10 ,Sushi
626789,14,Sushi
504599,15 CAD for 8 pieces,Sushi
632684,12,Sushi
522967,35,Sushi
632893,$20 ,Sushi
632156,"Taking one set as one serving, I would expect to pay $20.",Sushi
603582,20 CAD,Sushi
626754,$15 ,Sushi
298481,$9-$40,Sushi
631583,8,Sushi
718026,20,Sushi
616713,25,Sushi
602533,10,Sushi
522345,One serving of sushi would be $16,Sushi
629758,around 17 dollars,Sushi
631496,$10 ,Sushi
491374,10-25 Canadian dollars,Sushi
632051,20,Sushi
409930,$5 to $25,Sushi
632975,15,Sushi
407221,$15 ,Sushi
204508,$10 ,Sushi
618700,5,Sushi
627792,15 CAD.,Sushi
712054,$20 ,Sushi
631881,$10-20,Sushi
716188,$15 ,Sushi
628744,$8-10,Sushi
604132,12,Sushi
629807,20,Sushi
741428,$13 ,Sushi
633024,12,Sushi
631221,"$12

 ",Sushi
601983,13,Sushi
603007,5 dollars,Sushi
601217,7 CAD,Sushi
629221,$17 ,Sushi
634705,$12 ,Sushi
630070,$15 ,Sushi
630006,$15 ,Sushi
629072,$20 ,Sushi
630044,Perhaps 7 dollars.,Sushi
626026,8$,Sushi
520303,40,Sushi
630972,22 bucks,Sushi
630948,12,Sushi
626778,$15 ,Sushi
631181,17,Sushi
633541,20,Sushi
630098,10 dollar,Sushi
629959,10 dollars,Sushi
633097,$6 ,Sushi
605290,$10/serving,Sushi
629869,20,Sushi
632868,One serving would be expected around $6. ,Sushi
209691,I would expect to pay $15 for one serving of this food item.,Sushi
600915,20,Sushi
525420,$8 ,Sushi
414710,$12 CAD,Sushi
629985,$10 ,Sushi
523128,20,Sushi
727410,$50 ,Sushi
616457,20,Sushi
206487,Ten dollar,Sushi
68949,$7-$12 depending on the size,Sushi
419835,14,Sushi
745732,20 to 35 dollars.,Sushi
543739,10,Sushi
410380,15,Sushi
385307,15,Sushi
634566,20,Sushi
625818,15$,Sushi
631164,$5-$10,Sushi
603130,$12 ,Sushi
229211,$16 ,Sushi
626849,$6.00 ,Sushi
634650,$15 ,Sushi
632125,$10 ,Sushi
626812,20,Sushi
631109,$13-15,Sushi
716766,10 for 10,Sushi
494103,9 dollars,Sushi
628102,$10 ,Sushi
634683,dollar each,Sushi
517774,12,Sushi
408898,10 dollars,Sushi
603189,10,Sushi
606857,10 CAD,Sushi
523080,9.99,Sushi
631014,$12 ,Sushi
503957,$18 ,Sushi
524890,$25 ,Sushi
717411,$8 ,Sushi
525311,$10 ,Sushi
630967,25,Sushi
604969,$15 ,Sushi
524480,$15 ,Sushi
630121,around $15,Sushi
629615,"1 roll: =1.5 dollars

8 pieces: 12 dollars",Sushi
634977,7,Sushi
630823,14,Sushi
632228,12 to 15 dollars,Sushi
504548,$10 ,Sushi
522477,"Around $10, but if it comes with high standard fish, I would say $20 or more.",Sushi
523461,$6 ,Sushi
312640,16,Sushi
854745,$12 ,Sushi
711854,"One box, $10",Sushi
739254,10 dollars,Sushi
621555,"If it's sashimi, 20$ ish, give or take a few. If it's just a roll, a serving of 6 rolls is about 8-10 dollars for an average roll.",Sushi
602482,12-18 dollars,Sushi
630416,$9 ,Sushi
505458,3,Sushi
296589,Around $5-15,Sushi
604826,I expect to pay for 15 dollars for one serving of this food item.,Sushi
387820,25CAD,Sushi
603612,25,Sushi
712252,$7 ,Sushi
742226,20,Sushi
712771,20,Sushi
746466,13,Sushi
601737,15 dollars,Sushi
631902,$20 ,Sushi
312320,sushi small order = 6 pieces with meat not tofu = $12,Sushi
519986,18,Sushi
626771,I would expect to pay between $10-20 CAD for one serving of this food item.,Sushi
407257,25,Sushi
626883,$15 ,Sushi
727339,2$ to 4$,Sushi
631448,Around 5 dollars,Sushi
634885,$8 ,Sushi
619932,$20 ,Sushi
601986,11.02$,Sushi
631141,$10 ,Sushi
631069,$12 ,Sushi
634508,$8 ,Sushi
206744,$7 ,Sushi
498213,"it depends on how big the portion is. let say 8 pieces of salmon roll then I will happy to pay around 7 cad but sushi is usually expensive and 8 piece of sushi won't make me full. if to eat and be happy then 18-20 cad. but since for the other data I only say for not so full, so my final answer is 15.",Sushi
627496,8.00 dollars,Sushi
629659,1$,Sushi
630190,$30 ,Sushi
401586,10,Sushi
629263,$10 ,Sushi
631678,$4 ,Sushi
411681,$20 ,Sushi
518733,3 dollars,Sushi
630378,$10 ,Sushi
631142,$17 per serving,Sushi
519976,20,Sushi
604991,25,Sushi
522483,$15-20,Sushi
629723,$20 ,Sushi
387522,30,Sushi
613484,$6.00 ,Sushi
388729,15-20 dollar,Sushi
494373,6,Sushi
630977,25 dollars,Sushi
621982,25 dollars,Sushi
605537,0.5,Sushi
607073,15-Oct,Sushi
624443,$10 ,Sushi
718089,$12-$20,Sushi
622727,$10 to $12,Sushi
609617,12$ would be fair value,Sushi
526064,$1 ,Sushi
609179,20,Sushi
627638,"Assuming a serving means a small box of sushi for one person, around $12-$16.",Sushi
411117,$7.50 ,Sushi
634430,$2.00 ,Sushi
631711,$1 ,Sushi
606010,1-2$ USD,Sushi
631436,"For 4pc's of classic sushi, you should be setback about $5. ",Sushi
633712,10,Sushi
609556,14 dollar,Sushi
520090,$12 ,Sushi
602234,"For one serving of sushi, I expect to pay like $16. It's so good yet so expensive :(",Sushi
741592,1.49,Sushi
628547,$20 ,Sushi
501513,10,Sushi
630929,$5 ,Sushi
617379,$10 ,Sushi
617310,10.99,Sushi
495424,$15 ,Sushi
622787,13,Sushi
631716,$40 ,Sushi
741658,20 dollar for many sushi,Sushi
620745,$10 ,Sushi
611932,$12 ,Sushi
635602,$25-40,Sushi
619892,$15.00 ,Sushi
529289,$25 ,Sushi
630738,13,Sushi
524766,10,Sushi
522148,10,Sushi
601547,20 per serving,Sushi
631046,30,Sushi
66222,20,Sushi
603182,10 dollars,Sushi
632117,"One serving of sushi would probably mean one piece of sushi, so $1 or less.",Sushi
630209,$11 ,Sushi
413395,5-Mar,Sushi
386750,About 12 to 15 dollars,Sushi
617178,10 dollars,Sushi
630128,$1 or less (for a single roll),Sushi
628736,I would expect to pay at most 100 yen per individual piece.,Sushi
